id;name;start_date;total_houses;cost_by_house;status;contract
1;Plástico;2021-04-26;26340;78685;TERMINADO;AI XML
2;Personal Berkshire Dirham;2021-04-26;23931;92950;ACTIVO;Re-implementado Letonia
3;Blanco PNG;2021-04-26;35992;41099;SUSPENDIDO;Multi Directo
4;Representante;2021-04-26;64269;17034;SUSPENDIDO;Fundamental productividad conjunto
5;Principado Asociado bluetooth;2021-04-26;291;51826;SUSPENDIDO;Hormigon Comoro funcionalidad
6;override mission-critical;2021-04-26;95118;79779;TERMINADO;Ferrocarril
7;Herzegovina;2021-04-26;46481;2341;ACTIVO;necesidades Zimbabwe
8;multiestado;2021-04-26;55504;71925;SUSPENDIDO;withdrawal Atún
9;Checking enhance payment;2021-04-26;14497;65844;TERMINADO;deliverables Blanco
10;Extremadura;2021-04-25;59890;93331;ACTIVO;Violeta Videojuegos en
